fio version 2 iolog
/mnt/ms111/group2/ssd/test_file write 475136 4096
/mnt/ms111/group2/ssd/test_file write 479232 4096
/mnt/ms111/group2/ssd/test_file write 483328 4096
/mnt/ms111/group2/ssd/test_file write 487424 4096
/mnt/ms111/group2/ssd/test_file write 491520 4096
/mnt/ms111/group2/ssd/test_file write 495616 4096
/mnt/ms111/group2/ssd/test_file write 499712 4096
/mnt/ms111/group2/ssd/test_file write 503808 4096
/mnt/ms111/group2/ssd/test_file write 507904 4096
/mnt/ms111/group2/ssd/test_file write 512000 4096
/mnt/ms111/group2/ssd/test_file write 516096 4096
/mnt/ms111/group2/ssd/test_file write 520192 4096
/mnt/ms111/group2/ssd/test_file write 524288 4096
/mnt/ms111/group2/ssd/test_file write 528384 4096
/mnt/ms111/group2/ssd/test_file write 532480 4096
/mnt/ms111/group2/ssd/test_file write 536576 4096
/mnt/ms111/group2/ssd/test_file write 540672 4096
/mnt/ms111/group2/ssd/test_file write 544768 4096
/mnt/ms111/group2/ssd/test_file write 548864 4096
/mnt/ms111/group2/ssd/test_file write 552960 4096
/mnt/ms111/group2/ssd/test_file write 557056 4096
/mnt/ms111/group2/ssd/test_file write 561152 4096
/mnt/ms111/group2/ssd/test_file write 565248 4096
/mnt/ms111/group2/ssd/test_file write 569344 4096
/mnt/ms111/group2/ssd/test_file write 573440 4096
/mnt/ms111/group2/ssd/test_file write 577536 4096
/mnt/ms111/group2/ssd/test_file write 581632 4096
/mnt/ms111/group2/ssd/test_file write 585728 4096
/mnt/ms111/group2/ssd/test_file write 589824 4096
/mnt/ms111/group2/ssd/test_file write 593920 4096
/mnt/ms111/group2/ssd/test_file write 598016 4096
/mnt/ms111/group2/ssd/test_file write 602112 4096
/mnt/ms111/group2/ssd/test_file write 606208 4096
/mnt/ms111/group2/ssd/test_file write 610304 4096
/mnt/ms111/group2/ssd/test_file write 614400 4096
/mnt/ms111/group2/ssd/test_file write 618496 4096
/mnt/ms111/group2/ssd/test_file write 622592 4096
/mnt/ms111/group2/ssd/test_file write 626688 4096
/mnt/ms111/group2/ssd/test_file write 630784 4096
/mnt/ms111/group2/ssd/test_file write 634880 4096
/mnt/ms111/group2/ssd/test_file write 638976 4096
/mnt/ms111/group2/ssd/test_file write 643072 4096
/mnt/ms111/group2/ssd/test_file write 647168 4096
/mnt/ms111/group2/ssd/test_file write 651264 4096
/mnt/ms111/group2/ssd/test_file write 655360 4096
/mnt/ms111/group2/ssd/test_file write 659456 4096
/mnt/ms111/group2/ssd/test_file write 663552 4096
/mnt/ms111/group2/ssd/test_file write 667648 4096
/mnt/ms111/group2/ssd/test_file write 671744 4096
/mnt/ms111/group2/ssd/test_file write 675840 4096
/mnt/ms111/group2/ssd/test_file write 679936 4096
/mnt/ms111/group2/ssd/test_file write 684032 4096
/mnt/ms111/group2/ssd/test_file write 688128 4096
/mnt/ms111/group2/ssd/test_file write 692224 4096
/mnt/ms111/group2/ssd/test_file write 696320 4096
/mnt/ms111/group2/ssd/test_file write 700416 4096
/mnt/ms111/group2/ssd/test_file write 704512 4096
/mnt/ms111/group2/ssd/test_file write 708608 4096
/mnt/ms111/group2/ssd/test_file write 712704 4096
/mnt/ms111/group2/ssd/test_file write 716800 4096
/mnt/ms111/group2/ssd/test_file write 720896 4096
/mnt/ms111/group2/ssd/test_file write 724992 4096
/mnt/ms111/group2/ssd/test_file write 729088 4096
/mnt/ms111/group2/ssd/test_file write 733184 4096
/mnt/ms111/group2/ssd/test_file write 737280 4096
/mnt/ms111/group2/ssd/test_file write 741376 4096
/mnt/ms111/group2/ssd/test_file write 745472 4096
/mnt/ms111/group2/ssd/test_file write 749568 4096
/mnt/ms111/group2/ssd/test_file write 753664 4096
/mnt/ms111/group2/ssd/test_file write 757760 4096
/mnt/ms111/group2/ssd/test_file write 761856 4096
/mnt/ms111/group2/ssd/test_file write 765952 4096
/mnt/ms111/group2/ssd/test_file write 770048 4096
/mnt/ms111/group2/ssd/test_file write 774144 4096
/mnt/ms111/group2/ssd/test_file write 778240 4096
/mnt/ms111/group2/ssd/test_file write 782336 4096
/mnt/ms111/group2/ssd/test_file write 786432 4096
/mnt/ms111/group2/ssd/test_file write 790528 4096
/mnt/ms111/group2/ssd/test_file write 794624 4096
/mnt/ms111/group2/ssd/test_file write 798720 4096
/mnt/ms111/group2/ssd/test_file write 802816 4096
/mnt/ms111/group2/ssd/test_file write 806912 4096
/mnt/ms111/group2/ssd/test_file write 811008 4096
/mnt/ms111/group2/ssd/test_file write 815104 4096
/mnt/ms111/group2/ssd/test_file write 819200 4096
/mnt/ms111/group2/ssd/test_file write 823296 4096
/mnt/ms111/group2/ssd/test_file write 827392 4096
/mnt/ms111/group2/ssd/test_file write 831488 4096
/mnt/ms111/group2/ssd/test_file write 835584 4096
/mnt/ms111/group2/ssd/test_file write 839680 4096
/mnt/ms111/group2/ssd/test_file write 843776 4096
/mnt/ms111/group2/ssd/test_file write 847872 4096
/mnt/ms111/group2/ssd/test_file write 851968 4096
/mnt/ms111/group2/ssd/test_file write 856064 4096
/mnt/ms111/group2/ssd/test_file write 860160 4096
/mnt/ms111/group2/ssd/test_file write 864256 4096
/mnt/ms111/group2/ssd/test_file write 868352 4096
/mnt/ms111/group2/ssd/test_file write 872448 4096
/mnt/ms111/group2/ssd/test_file write 876544 4096
/mnt/ms111/group2/ssd/test_file write 880640 4096
